Type_annonce,Nombre_pieces,Prix,Adresse,Image_link
Vente,7,500000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4491624_uploaded_image1_1702065747.jpg
Vente,7,500000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4491603_uploaded_image1_1702065163.jpg
Location,6,850000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4531301_uploaded_image1_1704567130.jpg
Vente,5,170000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4529162_uploaded_image1_1704470532.jpg
Vente,6,800000000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4490934_uploaded_image1_1702036927.jpg
Vente,4,35000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4526886_uploaded_image1_1704372269.jpg
Location,7,3500000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4526593_uploaded_image1_1704365657.jpg
Vente,4,150000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4526045_uploaded_image1_1704333692.jpg
Location,6,1800000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4486238_uploaded_image1_1701784770.jpg
Vente,8,90000000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_4525262_uploaded_image1_1704295228.jpg
Vente,8,90000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4525194_uploaded_image1_1704293185.jpg
Vente,8,90000000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_4525192_uploaded_image1_1704293096.jpg
Vente,5,200000000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4525158_uploaded_image1_1704291929.jpg
Vente,6,250000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4489382_uploaded_image1_1701954886.jpg
Vente,3,30000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4524632_uploaded_image1_1704278122.jpg
Location,5,250000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4524590_uploaded_image1_1704276684.jpg
Vente,7,90000000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4524461_uploaded_image1_1704272573.jpg
Vente,3,37000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4524383_uploaded_image1_1704270265.jpg
Vente,5,300000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4524104_uploaded_image1_1704240839.jpg
Location,6,1200000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4491777_uploaded_image1_1702076155.jpg
Vente,5,30000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4523575_uploaded_image1_1704212715.jpg
Location,7,6000000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4523565_uploaded_image1_1704212164.jpg
Location,8,3000000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4487339_uploaded_image1_1701855559.jpg
Vente,3,23000000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4522747_uploaded_image1_1704187406.jpg
Vente,6,99000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4521644_uploaded_image1_1704064881.jpg
Location,5,800000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4484669_uploaded_image1_1701702690.jpg
Location,3,110000,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_4521214_uploaded_image1_1704024668.jpg
Location,7,2700000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4484137_uploaded_image1_1701687848.jpg
Vente,6,120000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4482526_uploaded_image1_1701560923.jpg
Location,6,1300000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4482528_uploaded_image1_1701561192.jpg
Location,6,1500000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4479045_uploaded_image1_1701358311.jpg
Location,8,1200000,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4481981_uploaded_image1_1701525669.jpg
Location,8,1200000,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4481790_uploaded_image1_1701518984.jpg
Location,8,200000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4519015_uploaded_image1_1703853751.jpg
Vente,4,28000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4518523_uploaded_image1_1703827595.jpg
Vente,5,215000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4480783_uploaded_image1_1701450640.jpg
Location,7,1500000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4518271_uploaded_image1_1703798470.jpg
Location,7,1000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4518168_uploaded_image1_1703793123.jpg
Vente,4,75000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4477027_uploaded_image1_1701255294.jpg
Location,7,1500000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4489756_uploaded_image1_1701967092.jpg
Location,7,2000000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4477263_uploaded_image1_1701262802.jpg
Vente,6,290000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4496672_uploaded_image1_1702398585.jpg
Vente,5,33000000,"Fatick, Sénégal",https://images.coinafrique.com/thumb_4515819_uploaded_image1_1703678593.jpg
Vente,6,170000000,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_4514904_uploaded_image1_1703619653.jpg
Vente,5,70000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4514888_uploaded_image1_1703618495.jpg
Vente,6,210000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4474826_uploaded_image1_1701105796.jpg
Vente,7,100000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4474705_uploaded_image1_1701100855.jpg
Location,7,1500000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4514266_uploaded_image1_1703591424.jpg
Location,6,1650000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4475819_uploaded_image1_1701178364.jpg
Vente,4,85000000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4514186_uploaded_image1_1703587054.jpg
Vente,5,50000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4514115_uploaded_image1_1703583305.jpg
Vente,4,15918000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4513045_uploaded_image2_1703458361.jpeg
Vente,7,500000000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4474831_uploaded_image1_1701105971.jpg
Vente,6,120000000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4474751_uploaded_image1_1701102935.jpg
Vente,4,115000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4474335_uploaded_image1_1701088681.jpg
Location,6,2500000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4469722_uploaded_image1_1700754378.jpg
Vente,280,380000000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4493634_uploaded_image1_1702223947.47.jpeg
Vente,4,190000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4474234_uploaded_image1_1701084705.jpg
Vente,4,40000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4509620_uploaded_image1_1703193045.jpg
Vente,12,50000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4509603_uploaded_image1_1703192313.jpg
