Superficie,Prix,Adresse,Img_link
150,35000000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4523072_uploaded_image1_1704196454.jpg
378,300000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4497727_uploaded_image1_1702465131.31.jpeg
350,20000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4522990_uploaded_image2_1704193312.jpeg
150,7000000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4522756_uploaded_image1_1704187731.jpg
150,70000000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4522526_uploaded_image1_1704163927.jpg
150,18000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4522321_uploaded_image1_1704139480.jpg
150,20000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4522319_uploaded_image1_1704139146.jpg
600,39000000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_4522237_uploaded_image1_1704131641.jpg
15,16000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4522185_uploaded_image1_1704129197.jpg
450,22000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4522141_uploaded_image1_1704126024.jpg
200,1100000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4483730_uploaded_image1_1701651757.jpg
300,9000000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4487543_uploaded_image1_1701862195.jpg
150,7000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4520817_uploaded_image1_1703973655.jpg
150,17000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4520724_uploaded_image1_1703964863.jpg
300,10000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4520200_uploaded_image1_1703934801.jpg
150,25000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4520171_uploaded_image1_1703933468.jpg
205,45000000,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4507068_uploaded_image1_1703066319.12.jpeg
339,170000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4485196_uploaded_image1_1701727117.22.jpeg
600,45000000,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_4519594_uploaded_image1_1703883812.jpg
150,2900000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4519535_uploaded_image1_1703879841.jpg
280,6000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4484652_uploaded_image1_1701702334.jpg
153,20000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4484231_uploaded_image1_1701691499.jpg
200,30000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4484217_uploaded_image1_1701691036.jpg
300,15000000,"Saly, Sénégal",https://images.coinafrique.com/thumb_4518801_uploaded_image2_1703845987.jpeg
150,2900000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4518417_uploaded_image1_1703808072.jpg
150,100000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4481099_uploaded_image1_1701465344.jpg
300,5000000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4518143_uploaded_image1_1703791218.jpg
180,1500000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4517936_uploaded_image1_1703782636.jpg
225,15000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4517831_uploaded_image1_1703778763.jpg
150,20000000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4517541_uploaded_image1_1703768136.jpg
180,9000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4516659_uploaded_image1_1703713131.jpg
757,13000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4516624_uploaded_image1_1703710824.jpg
150,26000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4516552_uploaded_image1_1703706708.jpg
150,45000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4516545_uploaded_image1_1703706094.jpg
150,6500000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4516171_uploaded_image1_1703691040.jpg
300,10000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4515977_uploaded_image1_1703683950.jpg
300,3000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4515688_uploaded_image1_1703674087.jpg
225,750000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4514442_uploaded_image1_1703599699.jpg
180,2000000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4475885_uploaded_image1_1701182125.jpg
1112,1300000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4476351_uploaded_image1_1701206717.jpg
140,80000000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4475918_uploaded_image1_1701184318.jpg
